"Address","Est1998Price","Est2007Price","Est2011Price","Est2014Price","PercentPriceChange","NumBedrooms","BikeFriendliness","WalkFriendliness","DistanceFromRail","NumGarageSpaces","NumBathrooms","NumRooms","Acres","InteriorInSqFt"
"31 Crestview Drive 1062",154.9402,238.43825,201.67168,179.487,15.8427574,3,36,17,1.598674242,0,1,5,0.23,1.008
"184 Earle St 1060",225.83265,337.8354,250.39488,243.639,7.8847545,4,79,49,0.103030303,0,1,8,0.31,1.922
"1 Edgewood Terrace 1060",204.638,318.87525,328.66976,325.666,59.1424858,4,94,80,0.3375,0,2,8,0.07,2.1
"139 Federal Street 1062",189.29015,280.3804,280.58208,282.765,49.3817824,4,54,29,1,1,2,7,0.23,1.664
"111 Fern St 1062",148.36255,243.6092,225.71552,198.686,33.9192404,2,70,45,0.042045455,1,1,5,0.17,0.892
"731 Florence Rd 1062",127.1679,218.329,181.33504,168.761,32.7072319,3,29,3,2.15,0,1,5,0.33,1.01
"41 Forest Glen Dr 1062",160.787,239.0128,205.59072,200.871,24.9298762,3,32,11,2.621401515,0,1,6,0.33,1.248
"77 Forest Glen Dr. 1062",165.90295,268.8894,236.2016,237.206,42.9787716,3,33,9,2.579734848,1,2,6,0.31,1.3
"11 Forest Glen Drive 1062",154.20935,247.0565,212.47552,205.77,33.4354888,3,31,9,2.7,1,1,5,0.34,1.04
"155 Franklin Street 1060",196.59865,309.68245,263.31712,287.489,46.2314212,4,83,60,0.216738636,0,1,8,0.13,1.466
"7 Golden Drive 1062",193.67525,293.0205,227.41024,223.067,15.1757904,3,28,18,1.91,1,1,6,0.23,1.636
"27 Grandview Street 1062",178.3274,282.10405,221.79648,237.594,33.2347132,4,46,32,0.708522727,1,1,7,0.21,1.335
"31 Gregory Lane 1062",204.638,282.6786,261.94016,275.218,34.4901729,4,32,14,2.011742424,0,2,6,0.14,1.512
"32 Gregory Lane 1062",181.2508,278.0822,249.65344,280.283,54.638214,4,27,18,1.991666667,1,2,8,0.21,1.752
"8 Hancock St 1060",211.21565,320.5989,226.45696,237.789,12.5811463,3,88,92,0.892045455,0,1,8,0.14,1.912
"34 Harold Street 1062",151.28595,237.8637,205.69664,191.694,26.7097176,3,38,22,0.875378788,0,1,5,0.26,0.942
"24 Hayes Avenue 1060",238.98795,434.93435,400.16576,365.506,52.9390917,3,87,57,0.329545455,0,2,8,0.56,1.675
"33 Hillside Road 1060",271.14535,509.0513,457.78624,474.245,74.9043456,4,74,68,0.326515152,1,2,7,0.11,1.8
"90 Hinckley Street 1062",196.59865,285.55135,275.9216,259.48,31.9846296,3,48,37,0.704356061,0,2,6,0.32,1.412
"36 Hinckley Street 1062",216.3316,348.75185,281.2176,326.891,51.1064495,3,44,31,0.866856061,2,2,7,0.5,1.763
"155 Jackson Street 1060",213.4082,345.8791,244.1456,228.829,7.2259641,4,77,48,0.204734848,2,2,7,0.34,1.796
"14 Jackson Street 1060",290.14745,486.64385,414.78272,426.5,46.9942266,4,75,48,0.138825758,2,2,7,0.19,2.224
"33 James Avenue 1060",240.44965,394.1413,375.80416,350.766,45.8791893,3,49,42,1.145454545,0,1,6,0.11,1.602
"60 Lake Street 1062",187.0976,317.1516,301.55424,279.187,49.2199793,4,79,65,0.179545455,1,2,9,0.28,1.9
"10 Laurel Park 1060",130.0913,226.94725,194.99872,214.737,65.0663803,3,33,11,2.28,0,1,6,0.1,1.348
"16 Laurel Park 1060",139.59235,248.2056,190.86784,212.959,52.557787,2,33,11,2.28,0,1,5,0.1,1.084
"22 Laurel Park 1060",175.404,333.81355,250.92448,301.366,71.8125014,2,33,11,0.421969697,0,1,4,0.1,1.83
"31 Laurel Park 1060",66.50735,162.59765,145.00448,144.366,117.0677376,2,33,11,2.28,0,1,4,0.1,0.587
"73 Laurel Park 1060",152.74765,284.9768,284.9248,318.348,108.4143357,3,33,11,2.28,0,2,6,0.1,1.389
"96 Laurel Park 1060",125.7062,195.347,155.49056,185.141,47.2807228,1,32,11,2.28,0,1,4,0.1,0.645
"107 Laurel Park 1060",60.66055,175.23775,141.72096,132.135,117.8269073,1,32,11,2.28,0,1,4,0.1,0.804
"117 Laurel Park 1060",94.27965,206.26345,201.7776,200.219,112.3671439,2,32,11,2.28,0,1,5,0.1,0.8
"14 Liberty Street 1062",242.6422,495.83665,467.21312,525.112,116.4141275,5,49,22,1.21,2,3,8,0.26,3.07
"12 Longview Drive 1062",149.82425,240.1619,211.84,210.701,40.6321073,3,25,9,2.53,2,1,5,0.35,0.864
"76 Longview Drive 1062",141.7849,227.5218,181.01728,185.508,30.837628,3,26,11,3.48,0,1,5,0.46,0.864
"52 Longview Drive 1062",162.2487,243.6092,209.82752,209.945,29.3970306,4,21,11,2.4,0,1,6,0.43,1.008
"182 Main Street 1060",123.51365,190.7506,172.22592,142.702,15.5354084,1,97,94,0.126893939,0,1,4,0.28,0.524
"117 Maplewood Terrace 1062",225.83265,382.6503,332.48288,367.384,62.6797542,2,43,37,0.73219697,0,1,7,0.55,1.856
"26 Mary Jane Lane 1062",160.787,247.63105,212.8992,201.443,25.2856263,3,43,22,0.935037879,0,1,5,0.28,0.96
"61 Meadow St 1062",261.6443,448.149,359.49248,360.87,37.9238913,4,75,80,0.390530303,2,1,9,0.55,2.542
"17 Middle St 1062",220.7167,347.0282,303.24896,313.64,42.100711,3,83,72,0.285795455,1,1,8,0.18,1.395
"27 Middle St 1062",214.13905,287.275,235.77792,270.622,26.3767631,3,83,72,0.203598485,1,2,7,0.26,1.349
"113 Nonotuck Street 1062",199.52205,295.3187,244.56928,258.091,29.3546252,2,60,54,0.502462121,0,1,6,0.25,1.3
"66 North Maple Street 1062",251.4124,374.6066,323.90336,357.303,42.1182885,4,85,69,0.096780303,2,1,8,0.22,2.256
"69 North Maple Street 1062",196.59865,316.57705,266.49472,289.946,47.4811755,2,85,69,0.115340909,2,1,5,0.31,1.519
"160 North Maple Street 1062",208.29225,295.3187,265.8592,296.142,42.1761971,3,69,40,0.385984848,2,1,7,0.26,1.454
"43 Nutting Avenue 1062",237.52625,361.9665,314.79424,331.387,39.5159482,3,55,31,0.75625,1,1,6,0.19,1.584
"38 Olive St 1060",202.44545,303.3624,380.67648,389.242,92.2700658,4,69,55,0.6375,2,1,7,0.14,1.624
"19 Pilgrim Dr 1060",351.53885,575.6991,469.54336,495.218,40.8714855,6,71,35,0.111363636,2,3,11,0.24,2.85
"67 Pine St 1062",194.4061,277.50765,238.63776,246.02,26.549527,3,76,75,0.300568182,1,1,7,0.37,1.376
"32 Pioneer Knolls 1062",181.98165,267.7403,222.432,212.892,16.9854213,3,39,15,1.58,1,1,7,0.28,1.427
"23 Prospect Avenue 1060",303.30275,500.43305,400.3776,384.14,26.6523301,3,69,37,0.166098485,1,1,8,0.23,1.837
"193 Prospect Street 1060",199.52205,338.40995,307.168,295.182,47.9445505,3,87,71,0.192045455,0,1,7,0.16,1.386
"248 Prospect Street 1060",248.489,545.8225,465.41248,520.147,109.323954,3,83,60,0.35530303,2,2,6,0.2,1.966
"63 Ridgewood Terrace 1060",214.8699,351.6246,312.88768,284.484,32.3982559,3,70,37,0.165719697,0,1,6,0.12,1.376
"140 Riverbank Rd. 1060",200.2529,316.0025,284.81888,228.565,14.1381723,3,51,25,1.72,0,2,6,0.33,1.2
"101 Riverside Drive 1062",227.29435,410.2287,378.45216,447.27,96.7800783,3,55,31,0.911363636,2,2,8,0.33,1.734
"557 Riverside Drive 1062",219.98585,331.51535,287.14912,286.163,30.0824576,3,53,54,0.785227273,0,2,7,0.36,1.556
"266 Rocky Hill Road 1062",178.3274,279.2313,213.53472,222.864,24.9746253,3,57,2,0.985984848,0,2,6,0.38,1.7
"35 Rust Avenue 1060",173.21145,272.91125,291.17408,310.018,78.9823941,4,70,25,0.35719697,1,2,7,0.18,2.042
"372 Ryan Road 1062",178.3274,257.97295,250.07712,211.725,18.7282493,3,37,17,1.871780303,1,1,6,0.39,1.32
"842 Ryan Road 1062",197.3295,302.2133,235.46016,266.124,34.8627549,3,35,6,2.89,2,1,7,0.46,1.728
"900 Ryan Road 1062",164.44125,254.52565,213.64064,214.289,30.3134098,3,32,3,2.94280303,1,1,6,0.27,1.294
"311 Ryan Road 1062",160.787,242.4601,213.11104,211.104,31.2941967,3,41,17,1.589962121,1,1,5,0.51,0.966
"540 Ryan Road 1062",222.90925,219.4781,210.46304,216.992,-2.65455561,2,36,14,1.939962121,0,1,4,0.54,1.008
"788 Ryan Road 1062",192.9444,266.5912,216.39456,202.485,4.9447406,3,35,6,2.577083333,2,1,7,0.35,1.594
"168 South Main Street 1062",233.14115,341.85725,307.80352,429.368,84.1665446,4,84,66,0.200189394,1,1,9,0.22,1.817
"116 Sandy Hill Rd 1062",161.51785,237.8637,211.09856,208.703,29.2135823,3,34,20,1.75,0,1,5,0.28,0.96
"65 Sherman Avenue 1060",221.44755,324.0462,252.0896,249.413,12.6284757,4,77,58,0.154356061,1,1,7,0.18,1.344
"74 South Main Street 1062",219.255,322.8971,273.59136,332.674,51.729265,4,60,46,0.385984848,2,2,7,0.17,1.5
"145 South Street 1060",264.5677,382.07575,338.52032,356.265,34.6592951,5,92,75,0.381818182,2,1,8,0.15,2.448
"250 South Street 1060",470.6674,798.6245,539.23872,513.096,9.014561,5,73,51,0.624431818,2,3,14,0.35,4.03
"104 Spruce Hill Avenue 1062",202.44545,286.1259,228.2576,236.498,16.8206053,4,37,20,1.891060606,1,2,7,0.25,1.638
"126 Spruce Hill Avenue 1062",218.52415,314.8534,283.44192,295.772,35.3498,4,37,20,1.887272727,1,2,7,0.43,1.772
"134 State St 1060",278.45385,472.2801,405.77952,421.46,51.3572177,2,95,88,0.416477273,4,2,5,0.09,2.137
"279 State St 1060",168.0955,290.7223,212.47552,233.023,38.6253647,2,97,66,0.038825758,0,2,4,0.05,0.934
"95 Straw Ave 1062",203.1763,288.99865,252.93696,279.814,37.7198029,3,73,51,0.144507576,2,1,5,0.22,1.457
"26 Sumner Avenue 1062",271.14535,408.50505,378.1344,347.408,28.1261139,4,83,58,0.153219697,1,4,7,0.25,1.737
"22 Swan Street 1060",194.4061,303.93695,236.62528,267.29,37.4905417,3,71,46,0.258712121,1,1,6,0.12,1.262
"40 Trumbull Road 1060",381.5037,669.9253,698.5424,879.328,130.4900319,6,89,89,0.458143939,1,3,12,0.26,3.175
"164 Turkey Hill Rd 1062",151.28595,225.79815,227.41024,191.407,26.5200106,2,18,8,3.976780303,0,2,6,0.23,1.041
"53 Union Street 1060",427.54725,513.6477,406.41504,467.861,9.4290748,3,90,89,0.674810606,0,2,9,0.19,2.102
"41 Valley Street 1060",218.52415,324.0462,335.7664,301.94,38.1723713,3,73,63,0.950568182,0,2,8,0.13,1.859
"42 Vernon Street 1060",323.76655,516.52045,506.40352,534.865,65.2008214,4,60,45,0.764204545,2,2,9,0.46,2.528
"17 Warren Street 1062",222.1784,329.21715,272.10848,331.84,49.3574533,4,78,65,0.125189394,0,2,8,0.4,1.96
"38 Williams Street 1060",218.52415,330.36625,264.69408,320.805,46.8052845,4,80,80,1.070265152,0,1,8,0.2,1.941
"1 Winslow Ave 1062",175.404,272.91125,237.04896,176.502,0.6259834,2,47,38,0.723295455,0,1,5,0.31,1.197
